,0,1
0,0,12639PjrWj5HPMuTe35XtkxQrC6A1E14PW
1,1,1ZbyyxQ9GPi6KPAPMfULMJZ4ZKkF1nhJq
2,2,1A7XWgQrw6peNvUwBqbLiUAeNRxsy4Uip3
3,3,1AzUEs6PcdKpd5XPQNxQMUw1UTu7RRHZ9q
4,4,1MXwmKPfH2XSZdhT7cqmwa8bYL61iZX8DS
5,5,1CdECRYWZ53a56K3NmpqpGjXgcJs6MgzbS
6,6,14eUjKYXgkgy4hgauyPfbmChejVt6NWrTU
7,7,1NxAcV7UTXH9TX4ALFoPrPyGpGVavXBKea
8,8,19312nDN6ACLjek5R9aCoDc2Fq5M5zwoS8
9,9,1NJxytLkfrTbCqm9rX25xSwCzH3KbtAbTu
10,10,1Gs3TuHKxBXcpRo5Wi9M5AVSmvMU4hyaR3
11,11,14vvR5MftE9bwW3fTBW6SpCd51KaWAtnq2
12,12,1M4EiyMT15UKKFSbRRyEvSc6AYWzpwt7zh
13,13,1LGbiEafvL9funzXDrozADJm2LksMVUBsH
14,14,1HkoDNhGdGE1xBoGCoG7if4Bct5G2AB8cm
15,15,1NHd1UzmdfdWJfRu4QLFzShi4CUwGE4J52
16,16,18PByqs2tNDJ9KXeeJguGHRSxUaitGoJ8L
17,17,1689GnZpTnoTDRnAzNELhLBFZVR1zsQGAL
18,18,18H29XM7E1tXFA6ELjB8CnBVkK8AjodZPS
19,19,1MiwgzzBa83GApJcL7pMdyHxJwBD9JES22
20,20,1Nen4Xm3nFwc4SQ5Ks1vZ9mqGEUFpAbXkS
21,21,1NqhUiTuNGeE41h2bpP2CzJKkj4fhNyG2Y
22,22,15k2m2YhAfnNTaAqheEawosTWUdytcPfTP
23,23,1JLcpGAGFUVbJ1gx9cXEBX1CHj7PXHwfrF
24,24,15Af7Js1AfLCoWxVv28tTAHh679wQhH8aU
25,25,1Dchm8ssUFHk9xPgMvmyW7sSoGEXfGCGVP
26,26,1NQ13m9iFrw1oNkBu4yp78EhSAcoYLzUJa
27,27,14Z5br1atJ6BvLGWuZopHTV3kg1XWxg8Aw
28,28,1PQWUGK6kJwty9tpxKxfbJLUKrwHjEyaZ5
29,29,18rGUmpSpzhCBaHYNa7sBwBnobbX63cpcR
30,30,1K3mAg3bkmQkCqrNZTX5UpAC1Wq9QGkuTz
31,31,1Fz7YYDHtt7PLD5NLDupYeBz7s5ab68f69
